DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Points,Year,RaceNumber,EventName,CircuitName
16,LEC,Ferrari,1.0,1.0,Finished,26.0,2022,1,Bahrain Grand Prix,Sakhir
55,SAI,Ferrari,3.0,2.0,Finished,18.0,2022,1,Bahrain Grand Prix,Sakhir
44,HAM,Mercedes,5.0,3.0,Finished,15.0,2022,1,Bahrain Grand Prix,Sakhir
63,RUS,Mercedes,9.0,4.0,Finished,12.0,2022,1,Bahrain Grand Prix,Sakhir
20,MAG,Haas F1 Team,7.0,5.0,Finished,10.0,2022,1,Bahrain Grand Prix,Sakhir
77,BOT,Alfa Romeo,6.0,6.0,Finished,8.0,2022,1,Bahrain Grand Prix,Sakhir
31,OCO,Alpine,11.0,7.0,Finished,6.0,2022,1,Bahrain Grand Prix,Sakhir
22,TSU,AlphaTauri,16.0,8.0,Finished,4.0,2022,1,Bahrain Grand Prix,Sakhir
14,ALO,Alpine,8.0,9.0,Finished,2.0,2022,1,Bahrain Grand Prix,Sakhir
24,ZHO,Alfa Romeo,15.0,10.0,Finished,1.0,2022,1,Bahrain Grand Prix,Sakhir
47,MSC,Haas F1 Team,12.0,11.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir
18,STR,Aston Martin,19.0,12.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir
23,ALB,Williams,14.0,13.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir
3,RIC,McLaren,18.0,14.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir
4,NOR,McLaren,13.0,15.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir
6,LAT,Williams,20.0,16.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir
27,HUL,Aston Martin,17.0,17.0,Finished,0.0,2022,1,Bahrain Grand Prix,Sakhir
11,PER,Red Bull Racing,4.0,18.0,Fuel pressure,0.0,2022,1,Bahrain Grand Prix,Sakhir
1,VER,Red Bull Racing,2.0,19.0,Fuel pressure,0.0,2022,1,Bahrain Grand Prix,Sakhir
10,GAS,AlphaTauri,10.0,20.0,Power Unit,0.0,2022,1,Bahrain Grand Prix,Sakhir
1,VER,Red Bull Racing,4.0,1.0,Finished,25.0,2022,2,Saudi Arabian Grand Prix,Jeddah
16,LEC,Ferrari,2.0,2.0,Finished,19.0,2022,2,Saudi Arabian Grand Prix,Jeddah
55,SAI,Ferrari,3.0,3.0,Finished,15.0,2022,2,Saudi Arabian Grand Prix,Jeddah
11,PER,Red Bull Racing,1.0,4.0,Finished,12.0,2022,2,Saudi Arabian Grand Prix,Jeddah
63,RUS,Mercedes,6.0,5.0,Finished,10.0,2022,2,Saudi Arabian Grand Prix,Jeddah
31,OCO,Alpine,5.0,6.0,Finished,8.0,2022,2,Saudi Arabian Grand Prix,Jeddah
4,NOR,McLaren,11.0,7.0,Finished,6.0,2022,2,Saudi Arabian Grand Prix,Jeddah
10,GAS,AlphaTauri,9.0,8.0,Finished,4.0,2022,2,Saudi Arabian Grand Prix,Jeddah
20,MAG,Haas F1 Team,10.0,9.0,Finished,2.0,2022,2,Saudi Arabian Grand Prix,Jeddah
44,HAM,Mercedes,15.0,10.0,Finished,1.0,2022,2,Saudi Arabian Grand Prix,Jeddah
24,ZHO,Alfa Romeo,12.0,11.0,Finished,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
27,HUL,Aston Martin,17.0,12.0,Finished,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
18,STR,Aston Martin,13.0,13.0,+1 Lap,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
23,ALB,Williams,16.0,14.0,Collision damage,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
77,BOT,Alfa Romeo,8.0,15.0,Cooling system,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
14,ALO,Alpine,7.0,16.0,Water pump,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
3,RIC,McLaren,14.0,17.0,Gearbox,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
6,LAT,Williams,18.0,18.0,Accident,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
22,TSU,AlphaTauri,19.0,19.0,Power Unit,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
47,MSC,Haas F1 Team,,,Withdrew,0.0,2022,2,Saudi Arabian Grand Prix,Jeddah
16,LEC,Ferrari,1.0,1.0,Finished,26.0,2022,3,Australian Grand Prix,Melbourne
11,PER,Red Bull Racing,3.0,2.0,Finished,18.0,2022,3,Australian Grand Prix,Melbourne
63,RUS,Mercedes,6.0,3.0,Finished,15.0,2022,3,Australian Grand Prix,Melbourne
44,HAM,Mercedes,5.0,4.0,Finished,12.0,2022,3,Australian Grand Prix,Melbourne
4,NOR,McLaren,4.0,5.0,Finished,10.0,2022,3,Australian Grand Prix,Melbourne
3,RIC,McLaren,7.0,6.0,Finished,8.0,2022,3,Australian Grand Prix,Melbourne
31,OCO,Alpine,8.0,7.0,Finished,6.0,2022,3,Australian Grand Prix,Melbourne
77,BOT,Alfa Romeo,12.0,8.0,Finished,4.0,2022,3,Australian Grand Prix,Melbourne
10,GAS,AlphaTauri,11.0,9.0,Finished,2.0,2022,3,Australian Grand Prix,Melbourne
23,ALB,Williams,20.0,10.0,Finished,1.0,2022,3,Australian Grand Prix,Melbourne
24,ZHO,Alfa Romeo,14.0,11.0,Finished,0.0,2022,3,Australian Grand Prix,Melbourne
18,STR,Aston Martin,19.0,12.0,Finished,0.0,2022,3,Australian Grand Prix,Melbourne
47,MSC,Haas F1 Team,15.0,13.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne
20,MAG,Haas F1 Team,16.0,14.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne
22,TSU,AlphaTauri,13.0,15.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne
6,LAT,Williams,18.0,16.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne
14,ALO,Alpine,10.0,17.0,+1 Lap,0.0,2022,3,Australian Grand Prix,Melbourne
1,VER,Red Bull Racing,2.0,18.0,Fuel leak,0.0,2022,3,Australian Grand Prix,Melbourne
5,VET,Aston Martin,17.0,19.0,Accident,0.0,2022,3,Australian Grand Prix,Melbourne
55,SAI,Ferrari,9.0,20.0,Spun off,0.0,2022,3,Australian Grand Prix,Melbourne
1,VER,Red Bull Racing,1.0,1.0,Finished,26.0,2022,4,Emilia Romagna Grand Prix,Imola
11,PER,Red Bull Racing,3.0,2.0,Finished,18.0,2022,4,Emilia Romagna Grand Prix,Imola
4,NOR,McLaren,5.0,3.0,Finished,15.0,2022,4,Emilia Romagna Grand Prix,Imola
63,RUS,Mercedes,11.0,4.0,Finished,12.0,2022,4,Emilia Romagna Grand Prix,Imola
77,BOT,Alfa Romeo,7.0,5.0,Finished,10.0,2022,4,Emilia Romagna Grand Prix,Imola
16,LEC,Ferrari,2.0,6.0,Finished,8.0,2022,4,Emilia Romagna Grand Prix,Imola
22,TSU,AlphaTauri,12.0,7.0,Finished,6.0,2022,4,Emilia Romagna Grand Prix,Imola
5,VET,Aston Martin,13.0,8.0,Finished,4.0,2022,4,Emilia Romagna Grand Prix,Imola
20,MAG,Haas F1 Team,8.0,9.0,Finished,2.0,2022,4,Emilia Romagna Grand Prix,Imola
18,STR,Aston Martin,15.0,10.0,+1 Lap,1.0,2022,4,Emilia Romagna Grand Prix,Imola
23,ALB,Williams,18.0,11.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
10,GAS,AlphaTauri,17.0,12.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
44,HAM,Mercedes,14.0,13.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
31,OCO,Alpine,16.0,14.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
24,ZHO,Alfa Romeo,0.0,15.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
6,LAT,Williams,19.0,16.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
47,MSC,Haas F1 Team,10.0,17.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
3,RIC,McLaren,6.0,18.0,+1 Lap,0.0,2022,4,Emilia Romagna Grand Prix,Imola
